"Zone","Intended Tariff ID","Date","Desired Start","Configured Start","Start Time Match","Desired End","Configured End","End Time Match","RowGUID","Duplicate Eventday Entry"
"34005","34005","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","a0dbbbc7-d464-ed11-80e9-0a94ef448f59",
"34006","34005","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","a1dbbbc7-d464-ed11-80e9-0a94ef448f59",
"34012","34005","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","a4dbbbc7-d464-ed11-80e9-0a94ef448f59",
"34013","34005","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","a6dbbbc7-d464-ed11-80e9-0a94ef448f59",
"34021","34005","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","a7dbbbc7-d464-ed11-80e9-0a94ef448f59",
"34023","34005","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","a9dbbbc7-d464-ed11-80e9-0a94ef448f59",
"34007","34007","2022-12-07","14:00:00","14:00:00","Yes","20:29:59","20:29:59","Yes","a41b3aa2-d364-ed11-80e9-0a94ef448f59",
"34008","34008","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","abdbbbc7-d464-ed11-80e9-0a94ef448f59",
"34010","34008","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","acdbbbc7-d464-ed11-80e9-0a94ef448f59",
"34015","34015","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","aedbbbc7-d464-ed11-80e9-0a94ef448f59",
"61476","61476","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","b1dbbbc7-d464-ed11-80e9-0a94ef448f59",
"61594","61476","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","b3dbbbc7-d464-ed11-80e9-0a94ef448f59",
"61627","61476","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","b4dbbbc7-d464-ed11-80e9-0a94ef448f59",
"61477","61477","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","b7dbbbc7-d464-ed11-80e9-0a94ef448f59",
"61478","61477","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","b8dbbbc7-d464-ed11-80e9-0a94ef448f59",
"61488","61477","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","badbbbc7-d464-ed11-80e9-0a94ef448f59",
"61496","61477","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","bddbbbc7-d464-ed11-80e9-0a94ef448f59",
"61514","61477","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","c0dbbbc7-d464-ed11-80e9-0a94ef448f59",
"61515","61477","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","c3dbbbc7-d464-ed11-80e9-0a94ef448f59",
"61552","61477","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","c7dbbbc7-d464-ed11-80e9-0a94ef448f59",
"61487","61487","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","c8dbbbc7-d464-ed11-80e9-0a94ef448f59",
"61498","61487","2022-12-07","08:30:00","08:30:00","Yes","20:29:59","20:29:59","Yes","cbdbbbc7-d464-ed11-80e9-0a94ef448f59",
